org	machine	machine_name	std_name	std_name_long	ex	em	width	laser
FDACBER	Canto10	PE-A	pe	PE	488	575	25	blue
FDACBER	Canto10	PE-Cy7-A	pc7	PE-Cy7	488	780	60	blue
FDACBER	Canto10	7-AAD-A	pc55	PerCP-Cy5.5	488	695	40	blue
FDACBER	Canto10	APC-A	apc	APC	640	670	30	red
FDACBER	Canto10	APC-Cy7-A	ac7	APC-Cy7	640	780	60	red
FDACBER	CantoII-1	Time	time	Time	NA	NA	NA	NA
FDACBER	CantoII-1	FSC-A	fsc_a	FSC-A	NA	NA	NA	NA
FDACBER	CantoII-1	FSC-H	fsc_h	FSC-H	NA	NA	NA	NA
FDACBER	CantoII-1	SSC-A	ssc_a	SSC-A	NA	NA	NA	NA
FDACBER	CantoII-1	SSC-H	ssc_h	SSC-H	NA	NA	NA	NA
FDACBER	CantoII-1	Pacific Blue-A	v450	V450/PB 	405	450	50	violet
FDACBER	CantoII-1	AmCyan-A	v500	V500-C/Aqua	405	510	50	violet
FDACBER	CantoII-1	Alexa Fluor 488-A	fitc	FITC	488	530	30	blue
FDACBER	CantoII-1	PE-A	pe	PE	488	585	42	blue
FDACBER	CantoII-1	PE-Cy7-A	pc7	PE-Cy7	488	780	60	blue
FDACBER	CantoII-1	PerCP-Cy5-5-A	pc55	PerCP-Cy5.5	488	715	90	blue
FDACBER	CantoII-1	APC-A	apc	APC	633	660	20	red
FDACBER	CantoII-1	APC-Cy7-A	ac7	APC-Cy7	633	780	60	red
FDACBER	Fortessa	Time	time	Time	NA	NA	NA	NA
FDACBER	Fortessa	FSC-A	fsc_a	FSC-A	NA	NA	NA	NA
FDACBER	Fortessa	FSC-H	fsc_h	FSC-H	NA	NA	NA	NA
FDACBER	Fortessa	SSC-A	ssc_a	SSC-A	NA	NA	NA	NA
FDACBER	Fortessa	SSC-H	ssc_h	SSC-H	NA	NA	NA	NA
FDACBER	Fortessa	BV421-A	v450	V450/PB 	405	450	50	violet
FDACBER	Fortessa	BV510-A	v500	V500-C/Aqua	405	525	50	violet
